Bought Item,Confidence,Expected To Be Bought,Lift,Support,_id
Mango Chutney,0.9523809523809523,Plain Papadum,3.548122252237936,0.004478614615212361,121
Mint Sauce,0.9347826086956522,Plain Papadum,3.482559123663975,0.0032096738075688587,122
Chicken Tikka Garlic,0.373134328358209,Onion Chutney,4.843876547495083,0.005598268269015451,123
Chicken Tikka Garlic,0.20398009950248758,Red Sauce,4.109355478247859,0.003060386653728447,124
Chicken Tikka Garlic,0.22885572139303484,Onion Bhajee,3.4449214601151543,0.0034336045383294767,125
Chicken Tikka Garlic,0.3482587064676617,Onion Chutney,5.973907670355011,0.0052250503844144215,126
Chicken Tikka Jalfrezi,0.11587982832618025,Onion Chutney,3.687510831557807,0.004030753153691125,127
Chicken Tikka Jalfrezi,0.33727810650887574,Onion Chutney,4.3784058070730705,0.004254683884451743,128
Korma,0.28426395939086296,Saag Aloo,3.1895178090112157,0.004180040307531537,129
Chicken Tikka Masala,0.894736842105263,Plain Papadum,3.333367484339324,0.0038068224229305067,130
Mint Sauce,0.10731373889268626,Mango Chutney,3.15974101086883,0.011719041576472345,131
Onion Chutney,0.1182170542635659,Mango Chutney,3.4807777493824004,0.009106516384265134,132
Plain Papadum,0.10261401557285874,Mango Chutney,3.0213625640210733,0.02754347988355602,133
Red Sauce,0.10526315789473684,Mango Chutney,3.099363794100636,0.0052250503844144215,134
Onion Chutney,0.1065891472868217,Chicken Tikka Masala,4.34034895501991,0.008210793461222662,135
Mint Sauce,0.18728639781271358,Chicken Tikka Masala,3.128523530544793,0.020452340076136447,136
Red Sauce,0.10676691729323307,Chicken Tikka Masala,4.347587814521105,0.005299693961334627,137
Mixed Starter,0.38655462184873945,Mushroom Rice,3.56657869759474,0.0034336045383294767,138
Plain Rice,0.4928571428571428,Chicken Tikka Masala,3.095549527828009,0.005150406807494215,139
Chicken Tikka Masala,0.3441295546558704,Mushroom Rice,3.1751402504991018,0.006344704038217511,140
Onion Chutney,0.8953488372093023,Plain Papadum,3.3356474894585713,0.011495110845711726,141
Onion Chutney,0.26162790697674415,Red Sauce,5.270720405665325,0.0033589609614092706,142
Chicken Tikka Masala,0.8296296296296296,Plain Papadum,3.0908087175050465,0.008360080615063074,143
Mango Chutney,0.8730158730158729,Plain Papadum,3.2524453978847747,0.004105396730611331,144
Mango Chutney,0.6515151515151515,Mint Sauce,5.966061848836968,0.0032096738075688587,145
Mango Chutney,0.9242424242424243,Plain Papadum,3.443291367512725,0.004553258192132567,146
Mint Sauce,0.8550724637681159,Plain Papadum,3.1855967177701467,0.004403971038292155,147
Pilau Rice,0.2645161290322581,Korma,3.0236540790487725,0.003060386653728447,148
Dhansak,0.13297872340425532,Korma,3.774398214929679,0.003732178846010301,149
Mango Chutney,0.8461538461538461,Plain Papadum,3.1523701548729357,0.003284317384489065,150
Mango Chutney,0.9795918367346939,Plain Papadum,3.649497173730449,0.0035828916921698886,151
Dhansak Sauce,0.5714285714285714,Mint Sauce,5.232692119910165,0.0035828916921698886,152
Dhansak Sauce,0.5238095238095238,Onion Chutney,14.619742063492065,0.003284317384489065,153
Dhansak Sauce,0.5476190476190477,Mint Sauce,6.774194257573759,0.0034336045383294767,154
Dhansak Sauce,0.48809523809523814,Mint Sauce,18.21451784056241,0.003060386653728447,155
Dhansak Sauce,0.5238095238095238,Onion Chutney,6.7998800295311925,0.003284317384489065,156
Dhansak Sauce,0.48809523809523814,Red Sauce,9.833100608664518,0.003060386653728447,157
Dhansak Sauce,0.511904761904762,Onion Chutney,8.781034693006525,0.0032096738075688587,158
Dhansak Sauce,0.48809523809523814,Onion Chutney,19.87541612389637,0.003060386653728447,159
Pilau Rice,0.548780487804878,Onion Bhajee,3.062062555236131,0.0033589609614092706,160
Korma Sauce,0.24074074074074076,French Fries,6.154968900197908,0.003881465999850713,161
Lime Pickle,0.14794520547945206,Mango Chutney,4.280824876475636,0.004030753153691125,162
Lime Pickle,0.12328767123287672,Mint Sauce,4.488274270399048,0.0033589609614092706,163
Lime Pickle,0.1643835616438356,Garlic Naan,3.093042942896721,0.004478614615212361,164
Madras,0.33152173913043476,Mushroom Rice,3.0588131812193073,0.004553258192132567,165
Mint Sauce,0.12918660287081338,Mango Chutney,3.738040861037337,0.014107636037918937,166
Onion Chutney,0.12790697674418605,Mango Chutney,3.7010146165050988,0.009852952153467194,167
Mango Chutney,0.16868052199130013,Garlic Naan,3.173894597075067,0.0260506083451519,168
Red Sauce,0.12481203007518796,Mango Chutney,3.611461699605385,0.006195416884377099,169
Onion Chutney,0.43979057591623033,Mint Sauce,4.02725519176332,0.006270060461297305,170
Mint Sauce,0.18591934381408065,Garlic Naan,3.4982604621871323,0.020303052922296037,171
